country,i1990,i1995,i2000,i2005,i2010,i2015,i2020,e1990,e1995,e2000,e2005,e2010,e2015,e2020,g1990,g1995,g2000,g2005,g2010,g2015,g2020
Russian Federation,12653331,11587959,10664764,10302948,10118680,10179999,10756697,11524948,11928927,11900297,11667588,11194710,11643276,11636911,-2.999995642,-4.143528406,10.00006682,6.399965448,4.5,-1.972719226,-2.663757511
Rwanda,547717,2060363,318198,289100,334244,503667,492489,160024,215735,347076,423187,426901,514647,513907,-2.399291098,35.22407831,8.37091824,9.377899425,7.334656108,8.856861325,-3.35885332
St. Kitts and Nevis,883684,923530,979093,1151553,1454292,1656253,1960025,41561,40841,40132,39526,38959,39706,40254,4.877251516,5.383142657,10.04280842,9.732820703,0.04369578,0.713083369,-14.53207299
St. Lucia,883684,923530,979093,1151553,1454292,1656253,1960025,41561,40841,40132,39526,38959,39706,40254,9.89070153,1.748225865,0.048748554,-0.410304726,1.603862385,-1.362037196,-24.36461878
St. Vincent and the Grenadines,883684,923530,979093,1151553,1454292,1656253,1960025,41561,40841,40132,39526,38959,39706,40254,4.149186828,7.766650245,1.639031904,2.488557339,-4.470467935,2.785223963,-5.31264623
Samoa,74861,81952,94541,99230,104820,116855,135732,3357,4694,5998,5746,5122,4255,4021,-4.421450946,6.673643146,5.093044692,6.639203613,6.124719923,3.850361817,-3.108444011
San Marino,1413,2456,3494,2907,2266,3688,2407,3310,3659,4045,4218,4880,5195,5543,0,0,2.179379715,2.42510699,-5.473684211,2.291505561,-6.647910818
Sao Tome and Principe,13965,19261,25145,29859,30928,35162,39608,5582,4936,4365,3433,2700,2394,2139,0,0,0,6.614625826,6.671983657,3.911337989,3.024567669
Saudi Arabia,107045,130911,153614,178744,215338,282906,299268,4998445,5122702,5263387,6501819,8429956,10771366,13454842,15.19342589,0.212091348,5.625416143,5.573850121,5.039484026,4.106393864,-4.137670376
Senegal,370243,359061,394608,470508,547495,594507,693765,270410,287654,231901,238298,256092,266496,274929,-0.746282224,5.468584858,3.887210958,4.310238526,3.390889253,6.367043651,1.325505141
Serbia,370243,359061,394608,470508,547495,594507,693765,270410,287654,231901,238298,256092,266496,274929,0,0,6.13181309,5.530347121,0.731044553,1.806059265,-0.903218502
Seychelles,35633,27798,19244,23487,25932,27483,29258,3721,5148,6574,8997,11420,12791,13050,6.99554469,-0.825642343,1.514338842,9.005762142,5.95496195,5.637314488,-7.692672469
Sierra Leone,61853,457827,509098,151886,126730,139296,152486,222148,98516,97974,146227,79265,58830,53746,3.349997984,-7.999753286,6.652727885,4.505095672,5.346466052,-20.59877072,-1.96894782
